packNo,totalVoltage,maxCellVoltage,maxCellNo,minCellVoltage,minCellNo,maxTemp,maxTempCellNo,minTemp,minTempCellNo,socMax,socMin,sohMax,sohMin
1,64.243,3.213,2,3.211,1,21,1,20,3,12,12,99,99
2,64.234,3.213,22,3.211,29,21,21,20,23,12,12,99,99
3,64.194,3.211,59,3.209,41,21,41,20,43,12,12,99,99
4,64.221,3.213,61,3.21,62,21,61,20,63,12,12,99,99
5,64.221,3.212,81,3.208,94,21,81,19,85,12,12,99,99
6,64.24,3.213,101,3.211,112,21,101,19,106,12,12,99,99
7,64.224,3.213,132,3.21,122,21,121,20,123,12,12,99,99
8,64.229,3.213,146,3.209,144,22,150,20,144,12,12,99,99
9,64.249,3.213,161,3.211,180,22,171,20,164,12,12,99,99
10,64.236,3.213,182,3.21,193,22,181,20,184,12,12,99,99
11,64.236,3.213,215,3.211,202,22,210,20,203,12,12,99,99
12,64.231,3.213,223,3.21,221,22,231,20,224,12,12,99,99
13,64.228,3.213,257,3.21,241,21,241,20,244,12,12,99,99
14,64.236,3.213,262,3.211,272,21,261,20,263,12,12,99,99
